"","季度","縣市","地區","品項定位","款式","銷售總金額"
"444","第四季","苗栗縣","一般縣市","特定性別","一般款",2298.45
"445","第四季","苗栗縣","一般縣市","特定性別","針棒",1252.125
"446","第四季","金門縣","一般縣市","中性","一般款",418.425
"447","第四季","金門縣","一般縣市","中性","自動扣",279.3
"448","第四季","金門縣","一般縣市","中性","針棒",626.85
"449","第四季","金門縣","一般縣市","特定性別","一般款",488.25
"450","第四季","金門縣","一般縣市","特定性別","自動扣",558.6
"451","第四季","金門縣","一般縣市","特定性別","針棒",139.125
"452","第四季","雲林縣","一般縣市","中性","一般款",2511.075
"453","第四季","雲林縣","一般縣市","中性","自動扣",2024.925
"454","第四季","雲林縣","一般縣市","中性","針棒",1671.6
"455","第四季","雲林縣","一般縣市","特定性別","一般款",2856.525
"456","第四季","雲林縣","一般縣市","特定性別","自動扣",837.9
"457","第四季","雲林縣","一般縣市","特定性別","針棒",1113
"458","第四季","高雄市","直轄市","中性","一般款",12118.575
"459","第四季","高雄市","直轄市","中性","自動扣",8937.6
"460","第四季","高雄市","直轄市","中性","針棒",12119.1
"461","第四季","高雄市","直轄市","特定性別","一般款",7245.525
"462","第四季","高雄市","直轄市","特定性別","自動扣",4189.5
"463","第四季","高雄市","直轄市","特定性別","針棒",12103.875
"464","第二季","台東縣","一般縣市","中性","針棒",0
"465","第四季","澎湖縣","一般縣市","中性","針棒",0
"466","第一季","台東縣","一般縣市","中性","自動扣",0
"467","第四季","台東縣","一般縣市","中性","自動扣",0
"468","第一季","雲林縣","一般縣市","中性","自動扣",0
"469","第三季","澎湖縣","一般縣市","中性","自動扣",0
"470","第一季","金門縣","一般縣市","中性","自動扣",0
"471","第二季","金門縣","一般縣市","中性","自動扣",0
"472","第三季","花蓮縣","一般縣市","特定性別","自動扣",0
"473","第四季","苗栗縣","一般縣市","特定性別","自動扣",0
"474","第四季","基隆市","一般縣市","特定性別","自動扣",0
"475","第一季","澎湖縣","一般縣市","特定性別","自動扣",0
"476","第一季","金門縣","一般縣市","特定性別","自動扣",0
"477","第二季","金門縣","一般縣市","特定性別","自動扣",0
"478","第二季","澎湖縣","一般縣市","中性","一般款",0
"479","第三季","台東縣","一般縣市","特定性別","一般款",0
"480","第一季","澎湖縣","一般縣市","特定性別","一般款",0
